idh,idp,y,x,top,bot,cec,oc,w_hue,w_value,w_chroma,d_hue,d_value,d_chroma,bsat
28358,1,-34.1725,-61.85,0,18,14.1,1.41,10YR,3,2,NA,NA,NA,88.6524822695036
28359,1,-34.1725,-61.85,18,32,16.6,0.38,7.5YR,4,2,NA,NA,NA,98.7951807228916
1924,3,-34.46339,-60.74271,0,12,20.8,2.8,10YR,3,1,10YR,4,1,81.7307692307692
1925,3,-34.46339,-60.74271,12,25,18.4,1.8,10YR,3,1,NA,NA,NA,88.0434782608696
28408,18,-33.83333,-59.42444,0,14,16.2,1.86,10YR,3,2,10YR,4.5,2,93.8271604938272
28409,18,-33.83333,-59.42444,14,26,16.9,1.41,10YR,2,2,10YR,5,3,96.4497041420119
15208,46,-33.825,-61.55278,0,20,22.1,1.73,10YR,2.5,2,10YR,5,2,85.0678733031674
15209,46,-33.825,-61.55278,20,28,20.6,0.83,10YR,3,3,10YR,5,3,83.495145631068
15233,85,-33.75282,-61.51624,0,26,15.1,1.43,10YR,3,2,10YR,6,2,89.4039735099338
15240,86,-33.75278,-61.15417,0,23,20.9,2.02,10YR,3,1.5,NA,NA,NA,77.0334928229665
15241,86,-33.75278,-61.15417,23,35,13.6,0.49,10YR,4,3,10YR,6,2,97.7941176470588
28567,112,-33.55833,-60.81667,0,14,17.7,1.5,10YR,3,2,10YR,5,2,72.316384180791
28568,112,-33.55833,-60.81667,14,24,16.2,1.11,10YR,3,2,10YR,6,2,89.5061728395062
28569,112,-33.55833,-60.81667,24,48,33.8,0.71,7.5YR,4,2,NA,NA,NA,100
28579,176,-34.54389,-61.42111,0,30,12.2,1.29,10YR,2,1,NA,NA,NA,88.5245901639344
28583,180,-33.66389,-61.24444,0,16,17.1,1.34,10YR,3,2,NA,NA,NA,75.4385964912281
28584,180,-33.66389,-61.24444,16,25,12.4,0.49,10YR,3,3,NA,NA,NA,96.7741935483871
28485,189,-33.86389,-60.66806,0,13,16.1,0.94,10YR,4,2,10YR,6,2,100
28486,189,-33.86389,-60.66806,13,20,22.5,0.68,10YR,4,3,10YR,6,2,100
28487,189,-33.86389,-60.66806,20,37,40,0.54,10YR,4,2,10YR,5,3,100
28596,222,-33.64722,-60.69861,0,15,21.7,2.19,10YR,3,2,NA,NA,NA,84.7926267281106
28597,222,-33.64722,-60.69861,15,26,22.8,1.78,10YR,2,1,NA,NA,NA,79.3859649122807
28607,235,-33.96944,-59.53194,0,15,20.6,2.15,10YR,2,2,10YR,4,2,86.4077669902913
28608,235,-33.96944,-59.53194,15,30,23.2,1.96,10YR,2,1,10YR,3,1,87.0689655172414
28614,243,-33.97222,-60.58611,0,24,18.4,1.97,10YR,3.5,2,10YR,6,2,78.2608695652174
28615,243,-33.97222,-60.58611,24,30,14.7,1.15,10YR,4,2,10YR,6.5,2,95.2380952380952
15707,251,-32.72417,-60.92167,0,15,21.9,1.9,10YR,3,2,NA,NA,NA,87.2146118721461
15708,251,-32.72417,-60.92167,15,28,19.2,1.13,10YR,3,2,NA,NA,NA,88.5416666666667
28776,264,-33.625,-61.40556,0,17,14.1,1.35,10YR,3,2,NA,NA,NA,83.6879432624114
28777,264,-33.625,-61.40556,17,24,13.5,1.1,10YR,3,2,NA,NA,NA,86.6666666666667
28778,264,-33.625,-61.40556,24,35,10.3,0.64,10YR,3,3,NA,NA,NA,91.2621359223301
28648,269,-33.26944,-60.85,0,14,19.8,1.75,10YR,3,2,10YR,6,2,77.7777777777778
28649,269,-33.26944,-60.85,14,28,18.6,1.3,10YR,3,2,10YR,5,2,88.7096774193548
5769,285,-34.45278,-59.61667,0,20,NA,1.62,10YR,3,2,10YR,5,1,NA
5770,285,-34.45278,-59.61667,20,55,NA,0.39,10YR,4,3,10YR,4,1,100
27413,300,-33.74096,-61.86234,0,20,22.3,2.27,10YR,3,1,NA,NA,NA,78.9237668161435
